municipality,year,daily_count
Bree,2020,580.1753731343283
Bree,2021,578.7041095890411
Bree,2022,571.7561643835617
Bree,2023,528.6712328767123
Bree,2024,517.6912568306011
Bree,2025,572.0739726027397
Bree,2026,558.2888888888889
Brugge,2019,548.9657534246576
Brugge,2020,486.3360655737705
Brugge,2021,488.72054794520545
Brugge,2022,2544.745205479452
Brugge,2023,3307.7561643835616
Brugge,2024,3383.8005464480875
Brugge,2025,3179.7013698630135
Brugge,2026,2916.639705882353
Deinze,2022,225.664
Deinze,2023,296.3643835616438
Deinze,2024,284.3551912568306
Deinze,2025,305.46301369863016
Deinze,2026,305.43382352941177
Dendermonde,2022,1612.4375
Dendermonde,2023,2543.131506849315
Dendermonde,2024,2355.5765027322404
Dendermonde,2025,2222.413698630137
Dendermonde,2026,2115.9407407407407
Diest,2022,490.59090909090907
Diest,2023,529.0739726027397
Diest,2024,557.860655737705
Diest,2025,585.0410958904109
Diest,2026,509.0
Evergem,2019,493.13013698630135
Evergem,2020,491.8169398907104
Evergem,2021,487.57260273972605
Evergem,2022,597.0246575342466
Evergem,2023,690.8684931506849
Evergem,2024,707.0710382513661
Evergem,2025,784.0712328767123
Evergem,2026,515.5259259259259
Geel,2022,1160.0274725274726
Geel,2023,1759.5123287671233
Geel,2024,1727.1120218579235
Geel,2025,1856.9753424657533
Geel,2026,1745.875
Genk,2019,117.06164383561644
Genk,2020,169.78142076502732
Genk,2021,143.19452054794522
Genk,2022,161.87671232876713
Genk,2023,164.8931506849315
Genk,2024,173.34699453551912
Genk,2025,166.186301369863
Genk,2026,138.30882352941177
Gent,2019,636.6369863013699
Gent,2020,673.5
Gent,2021,586.9068493150685
Gent,2022,1202.7479452054795
Gent,2023,2470.1643835616437
Gent,2024,2171.751366120219
Gent,2025,3514.769863013699
Gent,2026,3801.125
Gierle,2023,230.6997084548105
Gierle,2024,254.01639344262296
Gierle,2025,250.32054794520548
Gierle,2026,260.4117647058824
Grimbergen,2021,215.98773006134968
Grimbergen,2022,271.94520547945206
Grimbergen,2023,327.586301369863
Grimbergen,2024,350.8825136612022
Grimbergen,2025,399.26849315068495
Grimbergen,2026,382.93382352941177
Hamme,2022,200.07608695652175
Hamme,2023,542.8191780821918
Hamme,2024,430.21311475409834
Hamme,2025,444.24931506849316
Hamme,2026,431.2962962962963
Hasselt,2023,5195.307142857143
Hasselt,2024,5745.713114754099
Hasselt,2025,6043.928767123288
Hasselt,2026,5684.286764705882
Heers,2022,143.03846153846155
Heers,2023,117.23287671232876
Heers,2024,135.37431693989072
Heers,2025,140.07397260273973
Heers,2026,124.23703703703704
Heist op den Berg,2019,511.1164383561644
Heist op den Berg,2020,505.8360655737705
Heist op den Berg,2021,530.5479452054794
Heist op den Berg,2022,834.5068493150685
Heist op den Berg,2023,747.2794520547945
Heist op den Berg,2024,751.8306010928961
Heist op den Berg,2025,851.6383561643836
Heist op den Berg,2026,820.1838235294117
Herent,2022,911.6069651741293
Herent,2023,1036.7616438356165
Herent,2024,1144.7568306010928
Herent,2025,1220.9479452054795
Herent,2026,817.9852941176471
Herentals,2022,821.7282608695652
Herentals,2023,1212.1780821917807
Herentals,2024,1201.377049180328
Herentals,2025,1520.5342465753424
Herentals,2026,1451.139705882353
Herk De Stad,2022,755.2797202797203
Herk De Stad,2023,679.7972602739726
Herk De Stad,2024,740.4808743169399
Herk De Stad,2025,775.3808219178082
Herk De Stad,2026,699.7573529411765
Heverlee,2022,759.0348258706467
Heverlee,2023,1049.323287671233
Heverlee,2024,1027.7650273224044
Heverlee,2025,1131.964383561644
Heverlee,2026,1094.0294117647059
Hoeilaart,2025,310.58169934640523
Hoeilaart,2026,349.16911764705884
Houthalen-Helchteren,2023,495.2913669064748
Houthalen-Helchteren,2024,387.92349726775956
