municipality,weather_variable,correlation
Hoeilaart,precipitation_hours,-0.3675525515292627
Houthalen-Helchteren,temperature,0.6747476195642755
Houthalen-Helchteren,precipitation,-0.3356630366493571
Houthalen-Helchteren,wind_speed,-0.3379658793626365
Houthalen-Helchteren,sunshine_duration,0.6860764400500972
Houthalen-Helchteren,precipitation_hours,-0.4742422987974628
Ieper,temperature,0.4740199873307265
Ieper,precipitation,-0.3499268317348899
Ieper,wind_speed,-0.3332831334025817
Ieper,sunshine_duration,0.5065622628298226
Ieper,precipitation_hours,-0.42856710879742516
Kampenhout,temperature,0.5107916948008585
Kampenhout,precipitation,-0.33634808711554964
Kampenhout,wind_speed,-0.3181273556524762
Kampenhout,sunshine_duration,0.5269835651290514
Kampenhout,precipitation_hours,-0.4141621755710132
Kortrijk,temperature,0.23925046847023873
Kortrijk,precipitation,-0.2223394807594821
Kortrijk,wind_speed,-0.2383941856635842
Kortrijk,sunshine_duration,0.26376033249833636
Kortrijk,precipitation_hours,-0.2787228825036126
Lanaken,temperature,0.6630951487474387
Lanaken,precipitation,-0.3554279650081291
Lanaken,wind_speed,-0.4192376049970818
Lanaken,sunshine_duration,0.7030953241900294
Lanaken,precipitation_hours,-0.5125752082577766
Leuven,temperature,0.09553249469290723
Leuven,precipitation,-0.19904413289294023
Leuven,wind_speed,-0.1887831525576659
Leuven,sunshine_duration,0.17944322429077436
Leuven,precipitation_hours,-0.2317771540074249
Lier,temperature,0.15008506883182685
Lier,precipitation,-0.14123438129400695
Lier,wind_speed,-0.07987261588654594
Lier,sunshine_duration,0.18568489853891845
Lier,precipitation_hours,-0.20163026880492324
Lokeren,temperature,0.33953559685481927
Lokeren,precipitation,-0.281335160974039
Lokeren,wind_speed,-0.2676943263824507
Lokeren,sunshine_duration,0.37907771476393365
Lokeren,precipitation_hours,-0.3428899319138887
Lommel,temperature,0.6251919653175544
Lommel,precipitation,-0.3636663129271832
Lommel,wind_speed,-0.38855538347714685
Lommel,sunshine_duration,0.639327582587729
Lommel,precipitation_hours,-0.503019914945095
Lummen,temperature,0.5276276766797567
Lummen,precipitation,-0.3862975835275779
Lummen,wind_speed,-0.36978476080373546
Lummen,sunshine_duration,0.616949086460038
Lummen,precipitation_hours,-0.5094558561539125
Maaseik,temperature,0.6046607725844614
