municipality,weekday,daily_count
Machelen,Tuesday,495.7110481586402
Machelen,Wednesday,481.7025495750708
Malle,Friday,362.65671641791045
Malle,Monday,371.6119402985075
Malle,Saturday,228.58
Malle,Sunday,227.56218905472636
Malle,Thursday,397.55721393034827
Malle,Tuesday,423.18407960199005
Malle,Wednesday,395.02487562189054
Mechelen,Friday,1824.549504950495
Mechelen,Monday,1870.6980198019803
Mechelen,Saturday,1177.3960396039604
Mechelen,Sunday,980.2487562189054
Mechelen,Thursday,1941.049504950495
Mechelen,Tuesday,2006.4356435643565
Mechelen,Wednesday,1931.3564356435643
Melle,Friday,638.4663212435233
Melle,Monday,640.4010416666666
Melle,Saturday,539.119170984456
Melle,Sunday,535.9635416666666
Melle,Thursday,667.3160621761658
Melle,Tuesday,695.6510416666666
Melle,Wednesday,724.5729166666666
Meulebeke,Friday,171.72857142857143
Meulebeke,Monday,184.3732057416268
Meulebeke,Saturday,117.77990430622009
Meulebeke,Sunday,126.27751196172248
Meulebeke,Thursday,191.72857142857143
Meulebeke,Tuesday,190.96666666666667
Meulebeke,Wednesday,199.76666666666668
Nevele,Friday,306.02840909090907
Nevele,Monday,301.4886363636364
Nevele,Saturday,318.3485714285714
Nevele,Sunday,368.82954545454544
Nevele,Thursday,310.16477272727275
Nevele,Tuesday,311.4886363636364
Nevele,Wednesday,347.9318181818182
Nieuwpoort,Friday,4714.294685990338
Nieuwpoort,Monday,3992.529126213592
Nieuwpoort,Saturday,5232.014492753623
Nieuwpoort,Sunday,4755.723300970873
Nieuwpoort,Thursday,4068.792270531401
Nieuwpoort,Tuesday,4133.407766990291
Nieuwpoort,Wednesday,4132.429951690821
Nijlen,Friday,687.2709359605911
Nijlen,Monday,683.8217821782179
Nijlen,Saturday,458.58128078817737
Nijlen,Sunday,436.45544554455444
Nijlen,Thursday,685.4532019704434
Nijlen,Tuesday,706.1435643564356
Nijlen,Wednesday,695.6138613861386
Oostende,Friday,1376.2627118644068
Oostende,Monday,1338.6175637393767
Oostende,Saturday,1032.1468926553673
Oostende,Sunday,845.9206798866855
Oostende,Thursday,1469.6581920903955
Oostende,Tuesday,1439.1898016997168
Oostende,Wednesday,1460.1869688385268
Opwijk,Friday,317.8125
Opwijk,Monday,335.61290322580646
Opwijk,Saturday,233.8709677419355
Opwijk,Sunday,299.51612903225805
Opwijk,Thursday,355.375
Opwijk,Tuesday,368.5
Opwijk,Wednesday,363.6875
Overijse,Friday,229.9090909090909
Overijse,Monday,228.5185185185185
Overijse,Saturday,165.92727272727274
Overijse,Sunday,205.66666666666666
Overijse,Thursday,231.8909090909091
Overijse,Tuesday,236.76363636363635
Overijse,Wednesday,249.8181818181818
Peer,Friday,410.962962962963
Peer,Monday,451.00925925925924
Peer,Saturday,298.5
Peer,Sunday,364.28837209302327
Peer,Thursday,447.05555555555554
Peer,Tuesday,461.43518518518516
Peer,Wednesday,447.39351851851853
Pelt,Friday,505.1720930232558
Pelt,Monday,495.63084112149534
Pelt,Saturday,387.3209302325581
Pelt,Sunday,329.51869158878503
Pelt,Thursday,506.0186046511628
Pelt,Tuesday,541.2429906542056
Pelt,Wednesday,513.5700934579439
Pepingen,Friday,255.77941176470588
Pepingen,Monday,264.0147058823529
Pepingen,Saturday,171.25980392156862
Pepingen,Sunday,199.04901960784315
Pepingen,Thursday,293.8235294117647
Pepingen,Tuesday,292.77450980392155
Pepingen,Wednesday,288.77450980392155
Retie,Friday,792.7572254335261
Retie,Monday,769.2485549132948
Retie,Saturday,524.1329479768787
Retie,Sunday,445.80232558139534
Retie,Thursday,852.9942196531792
Retie,Tuesday,876.2369942196532
Retie,Wednesday,840.150289017341
Roeselare,Friday,525.4656862745098
Roeselare,Monday,572.0882352941177
Roeselare,Saturday,339.70098039215685
Roeselare,Sunday,326.5566502463054
Roeselare,Thursday,584.4215686274509
Roeselare,Tuesday,602.406862745098
Roeselare,Wednesday,588.8186274509804
St. Pieters Leeuw,Friday,105.94029850746269
St. Pieters Leeuw,Monday,99.48756218905473
St. Pieters Leeuw,Saturday,53.30348258706468
St. Pieters Leeuw,Sunday,51.22
St. Pieters Leeuw,Thursday,108.22885572139303
St. Pieters Leeuw,Tuesday,112.35323383084577
St. Pieters Leeuw,Wednesday,113.26865671641791
Tervuren,Friday,388.5506756756757
Tervuren,Monday,430.3627118644068
Tervuren,Saturday,432.68581081081084
Tervuren,Sunday,652.4237288135594
Tervuren,Thursday,446.44256756756755
Tervuren,Tuesday,448.4677966101695
Tervuren,Wednesday,432.45762711864404
Tienen,Friday,1478.2828571428572
Tienen,Monday,1511.0085714285715
